前	后
后	先,前
冷	暖,热
热	凉,冷
高	洼,低,矮
矮	高
进	退
退	定,进
死	生,活
活	呆,板,死
快	迟,慢,钝
慢	快,急
轻	重
重	轻
缓	速,急
急	缓,慢
宽	窄,严
窄	广,宽
强	弱
弱	强
松	紧
紧	松
好	恶,赖,坏,歹,糟
坏	好
美	丑
丑	美,俊
善	恶
恶	好,善
是	非,否
非	是
闲	忙
忙	闲
来	往,去
去	回,留,来,归,还
分	聚,合
合	分,离
存	亡,取
亡	昌,存
动	静
静	动
浓	淡
淡	浓,咸
偏	正,全
正	反,误,歪,枉,倒,斜,邪,偏,侧,副
饥	饱
饱	饿,饥,瘪
爱	恨,憎
恨	爱
升	降
降	涨,升
开	封,盖,关闭,谢,关掉,关,关上,闭
关	开,打开
始	终
终	始
胖	瘦
瘦	胖,肥
迎	逐,送
送	收,夺,迎
盈	亏
亏	余,足,盈,够
真	伪,假
假	真
虚	实
实	虚,名,空
有	没,无
无	有
雅	俗
俗	雅,僧
否	是
稀	密,稠
密	稀,疏
粗	细,精
细	粗
东	西
西	东,中
巧	拙
拙	巧
恩	仇,怨
怨	恩
新	故,陈,旧
旧	新
邪	正
通	住宿,堵
堵	通
止	起,行
行	止
古	今
今	昔,古
张	弛
弛	张
曲	直
直	弯,屈,曲
亮	暗,黑
暗	明,亮
亲	干,疏
疏	亲,密
输	赢
赢	输
逆	顺
顺	逆
苦	甜,甘
甜	苦
忠	奸
奸	忠
纵	横
横	竖,纵
得	失
失	得
南	北
北	南
薄	厚
厚	薄
哭	笑
笑	哭,啼
文	武,白
武	文
推	拉,提
拉	推
问	答
答	问
主	次,支2,仆,客,宾,从,奴
仆	主
买	卖
卖	买
深	浅
浅	深
聚	散,分
散	聚
干	群,亲,潮,枝,湿,鲜
湿	干
彼	此,己
此	彼
生	师,卒,死,熟
熟	生,生2
单	复,双
双	单
首	末,尾
末	首,初,本
敌	我,友
友	仇,敌
警	匪
匪	警
大	小
小	大,巨
盛	衰
衰	盛,兴
