龚	垄,詟,龛,陇,巽
龛	垄,龚,詟,陇,畣
詟	垄,龚,蕾,謍,龛,陇,寷,訾,萅
垄	拢,宠,詟,龚,龙,茏,笼,龛,陇,庞
陇	咙,垄,詟,龚,龛
龙	拢,宠,尤,忧,垄,茏,优,笼,庞
拢	龙,宠,垄,茏,笼,庞
笼	拢,龙,宠,垄,茏,庞
庞	拢,宠,垄,龙,笼,茏
宠	拢,龙,垄,茏,笼,庞
茏	拢,宠,垄,龙,笼,庞
龌	龉,龊,龃
龊	龉,龆,龌,龃
龃	龌,沮,租,徂,咀,诅,齟,龉,狙,龊,俎,趄
龉	龆,龌,龊,龃
齐	挤,剂,跻,济
济	挤,脐,齐,跻,剂
挤	济,脐,齐,跻,剂
剂	挤,剖,齐,跻,济
跻	挤,鲚,济,脐,齐,剂
黑	黩,黯,黔,奧,黒,默,墨
墨	黩,黑,黯,黔,圈,塦,默
默	黩,黑,黯,黔,墨
黩	买,黔,读,卖,椟,渎,黑,黯,默,犊,墨,续
黯	黩,黑,黔,默,墨
黔	黩,黑,黯,默,墨
麻	床,麾,摩,蘑,靡,磨,糜,魔
磨	床,麾,靡,摩,蘑,麻,糜,暦,魔
蘑	床,麾,摩,靡,薕,蓎,磨,麻,藦,糜,魔
摩	床,麾,靡,蘑,麿,磨,麻,黀,糜,魔
靡	床,麾,摩,蘑,磨,麻,縻,糜,魔
魔	床,麾,靡,摩,蘑,磨,麻,黁,糜
麾	床,靡,摩,蘑,麿,磨,麻,黀,糜,魔
糜	床,麾,靡,摩,蘑,磨,麻,麼,魔
床	麾,靡,摩,蘑,磨,麻,糜,魔
鹅	岛,鹊,峨,我,娥,鸟,鸣,鹤,饿,鵝,莺
饿	峨,娥,锇,珴,鹅
娥	硪,峨,饿,鹅,我
峨	蛾,誐,鋨,饿,娥,餓,鹅,我
鸟	鹊,鸣,鹤,岛,鹅,莺
岛	鹊,鸣,鹤,鸟,鹅,莺
鸣	呜,鹊,唵,唱,鹤,岛,鸟,鹅,莺
莺	鹊,鸾,鸣,鹤,岛,鸟,鹅
鹊	借,蜡,腊,惜,鹤,鸟,猎,错,昔,措,鸣,岛,鹅,莺
鹤	鹊,鸣,岛,鸟,鹅,莺
鱼	鲜,萤,鲸,鳍,亘,魚,鳅
鳅	鳍,秋,鲜,愁,揪,鱼,鲸,鰍
鲜	羊,洋,群,觧,样,鲸,鳍,鮮,详,祥,鱼,鳅
鳍	鱼,鲜,鲸,鳅
鲸	鲜,鳍,鱼,鯨,鳅
魏	冀,魄,鬼,槐,萎,魂,瑰,巍,愧,魁,委,翼
巍	魏,冀,翼
翼	冀,靁,霬,魏,巍,贒
冀	巍,魏,翼
魂	魅,魄,鬼,槐,魏,瑰,愧,魁
魄	魅,鬼,槐,魏,魂,瑰,愧,魁
魅	魂,魄,魁
魁	魅,魄,鬼,槐,魏,魂,斟,瑰,愧,科,斗,抖,料
鬼	愧,魁,魄,槐,魏,魂,瑰
瑰	鬼,魄,槐,媿,魁,塊,魏,魂,愧,磈
愧	魁,魄,鬼,槐,塊,魏,魂,瑰,傀
槐	魄,鬼,梙,瑰,媿,魁,魏,魂,愧,磈
鬲	嗝,融,隔
隔	鬲,融,嗝,隋,晿
融	鬲,蓉,容,熔,嗝,溶,隔,榕
嗝	鬲,瞷,融,喎,喁,隔,膈,槅
高	稿,缟,篙,晑,髙,搞
篙	稿,高,缟,槁,镐,簤,蒿,搞,夁,嵩,簄
稿	犒,镐,蒿,搞,嵩,高,缟,篙,鎬,熇,嵪,穡
搞	揭,稿,高,缟,篙,掅,熇,攁,攜
缟	稿,高,篙,槁,镐,蒿,搞,嵩
骨	猾,滑,胄
滑	猾,骨
猾	滑,骨
验	脸,检,佥,险,签,俭,捡
检	枪,脸,佥,险,签,裣,俭,验,捡
捡	捦,脸,拴,佥,险,签,俭,验,检
俭	佺,脸,检,险,签,佥,验,捡
骄	矫,娇,桥,侨,乔,轿
轿	矫,娇,桥,侨,乔,骄
娇	矫,桥,侨,乔,骄,硚,轿
矫	娇,桥,侨,乔,骄,轿
驿	择,泽,译,绎
泽	择,驿,译,绎,凙
择	驿,泽,挥,译,绎,佭
译	择,驿,泽,绎
马	吗,驼,驱,驰,妈,骂,驮
驼	吗,驰,驱,妈,骂,马,驮
驮	吗,驰,驱,驼,妈,骂,马
驱	抠,枢,伛,匹,呕,吗,驼,骂,区,妪,沤,驮,讴,妈,欧,怄,殴,鸥,躯,驰,岖,马
驰	驱,驶,妈,也,弛,貤,池,吗,驼,驰,施,骂,地,马,驮
妈	吗,驰,驱,驼,骂,马,驮
吗	驰,驱,驼,昍,妈,骂,马,驮
骂	驱,哭,妈,吗,驰,驼,嚣,器,咒,马,驮
馈	匮,篑,聩,遣,遗,愦,溃
溃	匮,聩,篑,渍,遗,贵,馈,愦
匮	篑,聩,遣,遗,馈,愦,溃
聩	瞆,匮,篑,馈,愦,溃
篑	箦,簠,蒉,溃,簤,簧,箽,馈,愦,匮,聩,箒,畫
愦	缋,僓,愦,溃,惯,匮,篑,聩,憒,馈
饥	玑,讥,肌,机,凯,几
肌	饥,肮,讥,机,朊,凯,几
机	玑,讥,杋,饥,肌
讥	饥,肌,机,凯,几
飘	缥,讽,剽,凤,瓢,疯,漂,飒,膘,风,飚,票,瞟,枫,栗
漂	缥,剽,飘,瓢,膘,票,瞟,栗
瞟	缥,剽,飘,瞫,磦,瓢,謤,漂,嫖,膘,嘌,縹,票,栗
风	凩,凤,飒,凬,讽,飘,疯,飚,凨,凮,枫
讽	风,飚,飘,凤,枫,疯,沨,飒
枫	讽,风,飘,飚,凤,疯,飒
飚	讽,风,飘,凤,枫,疯,飒
飒	讽,风,飘,飚,砜,凤,枫,疯
疯	讽,风,飘,飚,瘋,凤,枫,飒
凤	飒,风,夙,凪,讽,飘,疯,飚,凨,枫
颁	颀,硕,颔,颌,颐,颃
颔	颀,硕,頷,颌,颐,颁
颌	颀,硕,颔,颐,颁
颀	掀,硕,折,颔,领,颌,颐,欣,颁
硕	衷,颀,碩,衰,颔,颌,颐,项,颁
颐	颀,硕,頤,颔,颌,颁
顽	页,顺,颃,领,颓,须,顿,烦
烦	页,顶,顺,顼,项,领,须,顽,顿
顿	赖,顽,烦,颉,頓
页	顺,负,领,须,顽,烦
领	页,顽,烦,妗,玲,邻,顺,冷,须,念,吟,颀,拎,铃,翎,岭,今,贪,龄,怜,令,伶
顺	页,颇,顽,烦,顾,须,领,颅,順,频
须	页,磅,颇,领,榜,顽,既,顶,烦,膀,即,顺,傍
韦	韬,伟,违,纬,讳,苇
违	韬,伟,韦,速,纬,递,讳,苇
韬	伟,违,稻,蹈,讳,滔,纬,苇,韦,轁
苇	韬,伟,萳,违,讳,荂,纬,韦,莨,莱
讳	韬,伟,韦,违,纬,苇
伟	韬,韦,违,纬,讳,苇
纬	韬,伟,韦,违,讳,苇
鞠	躹,掬,菊
掬	椈,鞠,菊
菊	鞠,掬
靥	魇
魇	靥
面	腼,湎,靣,缅,茴
腼	媔,眮,緬,喕,湎,面,缅,糆
缅	偭,腼,湎,面,愐
湎	腼,涸,面,缅,洄,滙
非	菲,霏,悲,徘,排,裴,蜚,靠,辈,韭,匪,扉,斐
韭	菲,霏,悲,徘,排,裴,蜚,靠,辈,非,匪,扉,斐
徘	菲,霏,悲,排,裴,蜚,靠,辈,韭,非,匪,扉,俳,斐
辈	菲,霏,悲,徘,排,裴,韋,蜚,靠,菶,韭,非,匪,扉,翡,斐
悲	菲,霏,徘,排,裴,蜚,靠,辈,韭,非,匪,扉,翡,斐
斐	菲,霏,悲,徘,排,裴,蜚,靠,辈,韭,非,匪,扉
裴	菲,霏,悲,徘,排,蜚,靠,辈,韭,非,匪,扉,斐
靠	菲,霏,悲,徘,排,告,裴,诰,鹄,蜚,梏,辈,浩,韭,非,匪,皓,扉,斐
扉	菲,霏,悲,徘,排,裴,蜚,靠,辈,韭,非,扃,匪,斐
霏	菲,悲,徘,排,裴,蜚,靠,辈,韭,非,靇,匪,扉,斐
菲	霏,悲,徘,排,裴,葃,蜚,靠,辈,韭,非,匪,扉,翡,斐
匪	菲,霏,悲,徘,排,裴,蜚,靠,辈,韭,非,扉,斐
蜚	菲,霏,悲,徘,排,裴,靠,辈,韭,非,匪,扉,斐
排	菲,霏,悲,徘,裴,蜚,靠,辈,棑,韭,非,匪,扉,斐
青	晴,倩,靛,静,睛,肴,精,清,嗇,靑,胄,情,靓,猜
清	潘,晴,倩,遣,靛,静,青,漄,逪,请,睛,溑,精,俼,情,靓,猜
晴	晴,倩,嗩,靛,静,青,皘,请,睛,暊,精,清,情,靓,猜
情	憧,晴,倩,靛,静,青,请,睛,愭,精,清,撯,靓,猜
静	晴,倩,峥,靛,青,净,睛,争,精,清,诤,狰,挣,筝,情,靓,猜,铮
睛	崝,啨,靖,静,青,膢,靕,清,情,猜,暗,膞,晴,倩,綪,皘,聙,錆,靓,磌,靛,请,碃,精,請
精	晴,倩,崝,靛,静,青,请,睛,清,情,靓,猜
猜	晴,倩,靛,静,青,睛,精,清,猬,情,靓
靓	晴,倩,靓,靛,静,青,觊,睛,精,清,情,靚,猜
靛	晴,倩,静,青,睛,精,清,情,靓,猜
倩	僼,僒,棈,掅,静,青,耩,清,情,傋,猜,憘,傦,晴,傮,偦,惰,偅,構,靓,搆,靛,儘,倳,睛,精,僖,穡,谓,凊
需	儒,孺,濡,懦
儒	孺,擩,濡,懦,瓀,需,檽
孺	燸,譳,擩,濡,懦,需,糯,襦,儒,嚅,蠕
濡	孺,懦,灃,瀖,需,儒,嚅,蠕
懦	燸,孺,擩,濡,瓀,繻,曘,需,糯,壖,獳,檽,儒,襦,嚅,蠕,隭
雨	臿,雷,霆,萳,霎,雹,霜,雪,雾
霎	雨,雪,雷,雹,孁,轟,霆,霜,靏,鼃,霛,霩,雾
雾	雨,霆,雷,霎,雹,霜,雪
雷	雨,霆,霎,雹,霜,雪,雾
雪	雨,霆,霎,霜,扫,灵,雷,雹,寻,庸,雾
霜	雨,霆,霦,霎,撤,雪,湘,雷,相,雹,霋,霣,箱,籍,撒,雾
霆	雨,蜓,霾,霎,庭,艇,霜,雪,挺,舙,廷,雷,靃,雹,霋,靈,诞,霷,雾
雹	雨,雪,霅,霪,雷,霙,電,霆,霎,霜,靏,雾
雅	呀,维,难,璀,牙,脽,雕,推,催,雏,谁,芽,摧,睢,稚,崔,唯,讶
稚	焳,维,难,璀,雕,推,催,雏,谁,雅,摧,椎,秪,锥,崔,唯
雀	省
省	雀
难	维,难,惟,催,雅,稚,谁,崔,摊,滩,璀,准,雕,推,雏,摧,瘫,唯
滩	傩,难,准,瘫,摊
摊	滩,难,准,瘫
陶	绹,掏,萄,淘,啕
掏	陶,萄,淘,啕
淘	洵,陶,掏,淗,萄,啕
啕	陶,淘,掏
陨	睈,限,隕,损,唄,睊,协,员,胁
损	员,协,陨,胁
协	损,苏,办,陨,胁
胁	损,苏,协,陨,办
陡	跿,趋,徒,趣,趟,起,超,越,走,唗
徒	趋,陡,趣,趟,徙,起,超,越,走,徍
阵	砗,陈
陈	陆,阵,陎
防	访,旅,妨,仿,昉,方,纺
访	旅,防,妨,仿,方,纺
纺	访,防,旅,妨,仿,方
仿	访,防,旅,坊,妨,彷,方,纺
妨	访,防,旅,仿,彷,方,纺
阡	盱,歼,迁,阵,奸,盰,旰
迁	奸,阡,千,歼,纤
歼	迁,阡,玕,奸
奸	阡,妊,奷,竏,歼,迁,扞,肝,矸,妅,好,妦,杅
阑	闹,阒,阃,阄,斓,阊,阉,阕,围,圃,阐,阌,澜,阓,阍,闺,闲,闽,闸,阚,阖,阋
澜	阑,斓,谰
斓	阑,襕,镧,澜
闻	阑,阇,阌,围,阀,阒,阃,间,闷,闾,阄,阉,阊,问,阁,闯,阆,阋,阍
问	闪,阀,闻,阒,阄,闫,闭,闳,闿,阅,阊,回,闯,阌,闩,闼,闶,阓,闲,闽,阇,阙,闸,阖,闵,间,闷,闾,阁
闷	闲,闪,阔,闻,问,闯,门,闭
门	闲,闪,阔,闷,冂,囗,闯,闭
闲	阑,闪,阐,闹,闰,阀,阒,阃,闬,闶,阄,捆,阓,阍,闭,闳,闺,阔,闽,阙,闿,闸,阚,团,阖,闵,闷,阉,困,闯,门
闭	闪,阛,阀,闼,闶,阏,问,阍,闲,阔,阙,闿,阅,阚,团,阖,闵,阊,闷,阁,闯,门
闯	阑,闪,闹,闩,闻,闼,阃,阄,阒,问,闭,闲,阔,訚,阇,闸,阚,阖,间,闷,闾,阉,阊,阁,门
阔	阑,闪,阐,刪,阌,阒,阄,阎,阓,阍,闺,闲,闭,闱,闿,阚,阖,阊,闷,闾,阉,阁,闯,门
闪	闹,闰,阂,阀,闩,闻,阃,闬,闶,阄,问,阓,闫,阍,闭,闲,闳,阔,闺,訚,闽,阇,闱,闸,闿,阚,阖,闵,国,间,闷,闾,阁,闯,阆,门
镶	瓤,纕,獽,蠰,鑲,嚷,瓖,忀,孃,欀,囊,穰,攘,爙,懹,壤,禳,讓
壤	镶,瓤,儴,纕,獽,鑲,嚷,瓖,忀,孃,欀,囊,穰,攘,爙,懹,禳,讓
攘	镶,瓤,儴,獽,鑲,嚷,瓖,忀,欀,穰,囊,懹,壤,禳
嚷	镶,瓤,纕,獽,鑲,瓖,忀,孃,穰,囊,攘,壤,禳,讓
键	建,毽,钱,金,铜,煡,腱,链,针,健
健	建,毽,键,腱
锦	绵,棉,帛
棉	绵,帛,锦,棺
绵	棉,帛,锦
帛	昂,绵,棉,帇,峊,皇,禹,锦,皐
锋	烽,篷,峰,缝,丰,镩,逢,蓬,蜂
蜂	烽,篷,峰,缝,丰,逢,蓬,锋
峰	烽,篷,缝,丰,逢,蓬,锋,蜂
缝	烽,篷,峰,丰,逢,蓬,锋,蜂
铺	烳,辅,膊,匍,甫,搏,捕,销,雎,哺,匐,補,敷,脯,睢,埔,蒲,圃,浦,晡
捕	辅,膊,甫,圃,雎,捅,敷,脯,埔,铺,浦,匍,搏,哺,匐,蒲,睢
